Model,Difficulty,Category,Total_Videos,Detected_Videos,Mean_Detection_Rate,Min_Detection_Rate,Max_Detection_Rate,Detection Coverage (%)
DeepSeek-VL,easy,Abuse,50,48,0.7069,0.0,1.0,96.0
DeepSeek-VL,easy,Arrest,50,50,0.5686,0.0506,1.0,100.0
DeepSeek-VL,easy,Arson,50,47,0.1878,0.0,0.7727,94.0
DeepSeek-VL,easy,Assault,50,46,0.466,0.0,1.0,92.0
DeepSeek-VL,easy,Burglary,100,90,0.3955,0.0,1.0,90.0
DeepSeek-VL,easy,Explosion,50,46,0.3789,0.0,0.9917,92.0
DeepSeek-VL,easy,Fighting,50,50,0.4116,0.0096,0.9688,100.0
DeepSeek-VL,easy,RoadAccidents,150,131,0.4197,0.0,1.0,87.33
DeepSeek-VL,easy,Robbery,150,150,0.5583,0.0172,1.0,100.0
DeepSeek-VL,easy,Shooting,50,27,0.0313,0.0,0.2542,54.0
DeepSeek-VL,easy,Shoplifting,50,47,0.5816,0.0,1.0,94.0
DeepSeek-VL,easy,Stealing,100,95,0.3664,0.0,1.0,95.0
DeepSeek-VL,easy,Vandalism,50,50,0.6572,0.0606,1.0,100.0
DeepSeek-VL,easy,z_Normal_Videos,50,50,0.9877,0.8387,1.0,100.0
DeepSeek-VL,hard,Abuse,50,50,0.9392,0.6304,1.0,100.0
DeepSeek-VL,hard,Arrest,50,50,0.8743,0.2532,1.0,100.0
DeepSeek-VL,hard,Arson,50,50,0.7991,0.2308,1.0,100.0
DeepSeek-VL,hard,Assault,50,50,0.8385,0.0541,1.0,100.0
DeepSeek-VL,hard,Burglary,100,100,0.8616,0.1605,1.0,100.0
DeepSeek-VL,hard,Explosion,50,49,0.527,0.0,1.0,98.0
DeepSeek-VL,hard,Fighting,50,50,0.908,0.2899,1.0,100.0
DeepSeek-VL,hard,RoadAccidents,150,148,0.891,0.0,1.0,98.67
DeepSeek-VL,hard,Robbery,150,150,0.954,0.2308,1.0,100.0
DeepSeek-VL,hard,Shooting,50,49,0.558,0.0,1.0,98.0
DeepSeek-VL,hard,Shoplifting,50,50,0.9813,0.7619,1.0,100.0
DeepSeek-VL,hard,Stealing,100,100,0.927,0.0312,1.0,100.0
DeepSeek-VL,hard,Vandalism,50,50,0.9516,0.2941,1.0,100.0
DeepSeek-VL,hard,z_Normal_Videos,50,50,1.0,1.0,1.0,100.0
DeepSeek-VL,medium,Abuse,50,50,0.8598,0.1957,1.0,100.0
DeepSeek-VL,medium,Arrest,50,50,0.6605,0.0506,1.0,100.0
DeepSeek-VL,medium,Arson,50,48,0.2419,0.0,0.9286,96.0
DeepSeek-VL,medium,Assault,50,49,0.5562,0.0,1.0,98.0
DeepSeek-VL,medium,Burglary,100,96,0.5607,0.0,1.0,96.0
DeepSeek-VL,medium,Explosion,50,49,0.391,0.0,1.0,98.0
DeepSeek-VL,medium,Fighting,50,50,0.5047,0.0288,1.0,100.0
DeepSeek-VL,medium,RoadAccidents,150,141,0.621,0.0,1.0,94.0
DeepSeek-VL,medium,Robbery,150,149,0.6955,0.0,1.0,99.33
DeepSeek-VL,medium,Shooting,50,31,0.0455,0.0,0.5254,62.0
DeepSeek-VL,medium,Shoplifting,50,50,0.8773,0.0269,1.0,100.0
DeepSeek-VL,medium,Stealing,100,97,0.6155,0.0,1.0,97.0
DeepSeek-VL,medium,Vandalism,50,50,0.7021,0.0476,1.0,100.0
DeepSeek-VL,medium,z_Normal_Videos,50,50,1.0,1.0,1.0,100.0
InstructBLIP,easy,Abuse,50,48,0.7252,0.0,1.0,96.0
InstructBLIP,easy,Arrest,50,50,0.733,0.0123,1.0,100.0
InstructBLIP,easy,Arson,50,50,0.3985,0.0048,1.0,100.0
InstructBLIP,easy,Assault,50,49,0.7312,0.0,1.0,98.0
InstructBLIP,easy,Burglary,100,100,0.9204,0.0051,1.0,100.0
InstructBLIP,easy,Explosion,50,47,0.3754,0.0,1.0,94.0
InstructBLIP,easy,Fighting,50,50,0.7062,0.0508,1.0,100.0
InstructBLIP,easy,RoadAccidents,150,144,0.7898,0.0,1.0,96.0
InstructBLIP,easy,Robbery,150,150,0.9306,0.1607,1.0,100.0
InstructBLIP,easy,Shooting,50,45,0.2429,0.0,1.0,90.0
InstructBLIP,easy,Shoplifting,50,50,0.9199,0.1449,1.0,100.0
InstructBLIP,easy,Stealing,100,98,0.802,0.0,1.0,98.0
InstructBLIP,easy,Vandalism,50,49,0.5539,0.0,1.0,98.0
InstructBLIP,easy,z_Normal_Videos,50,48,0.7817,0.0,1.0,96.0
InstructBLIP,hard,Abuse,50,50,0.9987,0.9655,1.0,100.0
InstructBLIP,hard,Arrest,50,50,0.9993,0.9885,1.0,100.0
InstructBLIP,hard,Arson,50,50,0.9908,0.8214,1.0,100.0
InstructBLIP,hard,Assault,50,50,0.9962,0.9281,1.0,100.0
InstructBLIP,hard,Burglary,100,100,0.9976,0.8902,1.0,100.0
InstructBLIP,hard,Explosion,50,50,0.9411,0.1463,1.0,100.0
InstructBLIP,hard,Fighting,50,50,0.9998,0.9897,1.0,100.0
InstructBLIP,hard,RoadAccidents,150,150,0.9987,0.9333,1.0,100.0
InstructBLIP,hard,Robbery,150,150,0.9979,0.9032,1.0,100.0
InstructBLIP,hard,Shooting,50,50,1.0,1.0,1.0,100.0
InstructBLIP,hard,Shoplifting,50,50,1.0,1.0,1.0,100.0
InstructBLIP,hard,Stealing,100,100,0.9999,0.9913,1.0,100.0
InstructBLIP,hard,Vandalism,50,50,0.9942,0.8409,1.0,100.0
InstructBLIP,hard,z_Normal_Videos,50,50,1.0,1.0,1.0,100.0
InstructBLIP,medium,Abuse,50,49,0.8507,0.0,1.0,98.0
InstructBLIP,medium,Arrest,50,50,0.7526,0.0494,1.0,100.0
InstructBLIP,medium,Arson,50,50,0.4246,0.0048,1.0,100.0
InstructBLIP,medium,Assault,50,49,0.8302,0.0,1.0,98.0
InstructBLIP,medium,Burglary,100,100,0.9972,0.8902,1.0,100.0
InstructBLIP,medium,Explosion,50,49,0.4817,0.0,1.0,98.0
InstructBLIP,medium,Fighting,50,50,0.8982,0.1884,1.0,100.0
InstructBLIP,medium,RoadAccidents,150,150,0.9792,0.029,1.0,100.0
InstructBLIP,medium,Robbery,150,150,0.98,0.3929,1.0,100.0
InstructBLIP,medium,Shooting,50,50,0.622,0.05,1.0,100.0
InstructBLIP,medium,Shoplifting,50,50,0.9791,0.619,1.0,100.0
InstructBLIP,medium,Stealing,100,100,0.8944,0.1241,1.0,100.0
InstructBLIP,medium,Vandalism,50,50,0.9525,0.2,1.0,100.0
InstructBLIP,medium,z_Normal_Videos,50,50,0.9825,0.1429,1.0,100.0
LLaVA,easy,Abuse,50,49,0.4371,0.0,0.9394,98.0
LLaVA,easy,Arrest,50,47,0.4427,0.0,0.9954,94.0
LLaVA,easy,Arson,50,45,0.1564,0.0,0.8011,90.0
LLaVA,easy,Assault,50,48,0.3492,0.0,0.9677,96.0
LLaVA,easy,Burglary,100,96,0.4297,0.0,1.0,96.0
LLaVA,easy,Explosion,50,37,0.2292,0.0,0.8462,74.0
LLaVA,easy,Fighting,50,46,0.2074,0.0,0.7625,92.0
LLaVA,easy,RoadAccidents,150,129,0.3865,0.0,1.0,86.0
LLaVA,easy,Robbery,150,145,0.3931,0.0,0.9565,96.67
LLaVA,easy,Shooting,50,20,0.0081,0.0,0.0417,40.0
LLaVA,easy,Shoplifting,50,46,0.4391,0.0,0.9835,92.0
LLaVA,easy,Stealing,100,87,0.2249,0.0,0.8824,87.0
LLaVA,easy,Vandalism,50,45,0.3374,0.0,1.0,90.0
LLaVA,easy,z_Normal_Videos,50,5,0.0021,0.0,0.0556,10.0
LLaVA,hard,Abuse,50,21,0.0477,0.0,0.375,42.0
LLaVA,hard,Arrest,50,46,0.3818,0.0,0.9907,92.0
LLaVA,hard,Arson,50,33,0.104,0.0,0.6761,66.0
LLaVA,hard,Assault,50,42,0.271,0.0,0.88,84.0
LLaVA,hard,Burglary,100,95,0.6432,0.0,1.0,95.0
LLaVA,hard,Explosion,50,35,0.2338,0.0,0.913,70.0
LLaVA,hard,Fighting,50,45,0.2578,0.0,0.9818,90.0
LLaVA,hard,RoadAccidents,150,116,0.3175,0.0,1.0,77.33
LLaVA,hard,Robbery,150,144,0.5403,0.0,1.0,96.0
LLaVA,hard,Shooting,50,13,0.0193,0.0,0.339,26.0
LLaVA,hard,Shoplifting,50,46,0.4604,0.0,1.0,92.0
LLaVA,hard,Stealing,100,90,0.3516,0.0,1.0,90.0
LLaVA,hard,Vandalism,50,50,0.8075,0.0303,1.0,100.0
LLaVA,hard,z_Normal_Videos,50,6,0.0043,0.0,0.1463,12.0
LLaVA,medium,Abuse,50,6,0.0109,0.0,0.2342,12.0
LLaVA,medium,Arrest,50,36,0.1528,0.0,0.7481,72.0
LLaVA,medium,Arson,50,15,0.0302,0.0,0.3898,30.0
LLaVA,medium,Assault,50,16,0.0285,0.0,0.35,32.0
LLaVA,medium,Burglary,100,76,0.2323,0.0,1.0,76.0
LLaVA,medium,Explosion,50,30,0.1607,0.0,0.8462,60.0
LLaVA,medium,Fighting,50,47,0.1943,0.0,0.7586,94.0
LLaVA,medium,RoadAccidents,150,137,0.5561,0.0,1.0,91.33
LLaVA,medium,Robbery,150,111,0.1999,0.0,1.0,74.0
LLaVA,medium,Shooting,50,20,0.0125,0.0,0.1667,40.0
LLaVA,medium,Shoplifting,50,44,0.2773,0.0,0.9635,88.0
LLaVA,medium,Stealing,100,11,0.0034,0.0,0.119,11.0
LLaVA,medium,Vandalism,50,28,0.1737,0.0,0.8125,56.0
LLaVA,medium,z_Normal_Videos,50,47,0.7231,0.0,1.0,94.0
Qwen2.5-VL,easy,Abuse,50,16,0.0212,0.0,0.3333,32.0
Qwen2.5-VL,easy,Arrest,50,36,0.1646,0.0,0.8056,72.0
Qwen2.5-VL,easy,Arson,50,31,0.0584,0.0,0.483,62.0
Qwen2.5-VL,easy,Assault,50,24,0.0796,0.0,0.75,48.0
Qwen2.5-VL,easy,Burglary,100,73,0.1545,0.0,0.8769,73.0
Qwen2.5-VL,easy,Explosion,50,40,0.248,0.0,0.913,80.0
Qwen2.5-VL,easy,Fighting,50,42,0.1617,0.0,0.8,84.0
Qwen2.5-VL,easy,RoadAccidents,150,91,0.2002,0.0,0.9328,60.67
Qwen2.5-VL,easy,Robbery,150,125,0.2139,0.0,0.837,83.33
Qwen2.5-VL,easy,Shooting,50,4,0.0019,0.0,0.0444,8.0
Qwen2.5-VL,easy,Shoplifting,50,38,0.1097,0.0,0.5537,76.0
Qwen2.5-VL,easy,Stealing,100,66,0.0969,0.0,0.7826,66.0
Qwen2.5-VL,easy,Vandalism,50,18,0.0499,0.0,0.6087,36.0
Qwen2.5-VL,easy,z_Normal_Videos,50,0,0.0,0.0,0.0,0.0
Qwen2.5-VL,hard,Abuse,50,23,0.0513,0.0,0.4848,46.0
Qwen2.5-VL,hard,Arrest,50,43,0.337,0.0,1.0,86.0
Qwen2.5-VL,hard,Arson,50,41,0.1128,0.0,0.6667,82.0
Qwen2.5-VL,hard,Assault,50,36,0.2066,0.0,0.9167,72.0
Qwen2.5-VL,hard,Burglary,100,88,0.3181,0.0,1.0,88.0
Qwen2.5-VL,hard,Explosion,50,45,0.3503,0.0,0.9674,90.0
Qwen2.5-VL,hard,Fighting,50,45,0.2433,0.0,0.9187,90.0
Qwen2.5-VL,hard,RoadAccidents,150,94,0.2136,0.0,0.9627,62.67
Qwen2.5-VL,hard,Robbery,150,140,0.367,0.0,0.9512,93.33
Qwen2.5-VL,hard,Shooting,50,21,0.0353,0.0,0.3684,42.0
Qwen2.5-VL,hard,Shoplifting,50,37,0.119,0.0,0.595,74.0
Qwen2.5-VL,hard,Stealing,100,78,0.1534,0.0,0.9217,78.0
Qwen2.5-VL,hard,Vandalism,50,35,0.1048,0.0,0.4667,70.0
Qwen2.5-VL,hard,z_Normal_Videos,50,0,0.0,0.0,0.0,0.0
Qwen2.5-VL,medium,Abuse,50,10,0.0151,0.0,0.2727,20.0
Qwen2.5-VL,medium,Arrest,50,41,0.2347,0.0,0.9861,82.0
Qwen2.5-VL,medium,Arson,50,35,0.0689,0.0,0.5511,70.0
Qwen2.5-VL,medium,Assault,50,29,0.1119,0.0,0.75,58.0
Qwen2.5-VL,medium,Burglary,100,76,0.2086,0.0,1.0,76.0
Qwen2.5-VL,medium,Explosion,50,45,0.3175,0.0,0.9674,90.0
Qwen2.5-VL,medium,Fighting,50,44,0.2269,0.0,0.8708,88.0
Qwen2.5-VL,medium,RoadAccidents,150,100,0.2343,0.0,1.0,66.67
Qwen2.5-VL,medium,Robbery,150,128,0.2322,0.0,0.8587,85.33
Qwen2.5-VL,medium,Shooting,50,10,0.0058,0.0,0.0889,20.0
Qwen2.5-VL,medium,Shoplifting,50,32,0.072,0.0,0.438,64.0
Qwen2.5-VL,medium,Stealing,100,82,0.1803,0.0,0.9217,82.0
Qwen2.5-VL,medium,Vandalism,50,26,0.076,0.0,0.7681,52.0
Qwen2.5-VL,medium,z_Normal_Videos,50,5,0.023,0.0,0.3793,10.0
