Model,Category,Difficulty,Video ID,Frames,Yes Count,Detection Rate,Has Detection,Top 10 Yes Confidences
DeepSeek-VL,Abuse,easy,Abuse001_x264,180,108,0.6,True,"[1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,easy,Abuse002_x264,56,0,0.0,False,[]
DeepSeek-VL,Abuse,easy,Abuse003_x264,197,102,0.5178,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,easy,Abuse004_x264,559,527,0.9428,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse005_x264,31,28,0.9032,True,"[1.0, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98, 0.97, 0.97, 0.97]"
DeepSeek-VL,Abuse,easy,Abuse006_x264,146,134,0.9178,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.99]"
DeepSeek-VL,Abuse,easy,Abuse007_x264,38,17,0.4474,True,"[1.0, 1.0, 0.99, 0.97, 0.97, 0.93, 0.9, 0.9, 0.89, 0.89]"
DeepSeek-VL,Abuse,easy,Abuse008_x264,280,280,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse009_x264,33,4,0.1212,True,"[0.99, 0.95, 0.87, 0.85]"
DeepSeek-VL,Abuse,easy,Abuse010_x264,37,22,0.5946,True,"[1.0, 1.0, 1.0, 0.99, 0.99, 0.99, 0.99, 0.98, 0.98, 0.98]"
DeepSeek-VL,Abuse,easy,Abuse011_x264,121,99,0.8182,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
DeepSeek-VL,Abuse,easy,Abuse012_x264,171,171,1.0,True,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
