Model,category,difficulty,Inference Time (ms),Inference Time (minutes)
DeepSeek-VL,Abuse,easy,1761166.02,29.35
DeepSeek-VL,Abuse,hard,1688250.61,28.14
DeepSeek-VL,Abuse,medium,1695378.95,28.26
DeepSeek-VL,Arrest,easy,2572606.16,42.88
DeepSeek-VL,Arrest,hard,2581559.74,43.03
DeepSeek-VL,Arrest,medium,2583886.21,43.06
DeepSeek-VL,Arson,easy,2342456.93,39.04
DeepSeek-VL,Arson,hard,2362104.99,39.37
DeepSeek-VL,Arson,medium,2355693.5,39.26
DeepSeek-VL,Assault,easy,1118760.84,18.65
DeepSeek-VL,Assault,hard,1114539.88,18.58
DeepSeek-VL,Assault,medium,1118622.07,18.64
DeepSeek-VL,Burglary,easy,4047321.88,67.46
DeepSeek-VL,Burglary,hard,4060793.95,67.68
DeepSeek-VL,Burglary,medium,4051957.66,67.53
DeepSeek-VL,Explosion,easy,2163876.73,36.06
DeepSeek-VL,Explosion,hard,2175936.64,36.27
DeepSeek-VL,Explosion,medium,2173619.51,36.23
DeepSeek-VL,Fighting,easy,2218521.93,36.98
DeepSeek-VL,Fighting,hard,2225425.22,37.09
DeepSeek-VL,Fighting,medium,2228607.78,37.14
DeepSeek-VL,RoadAccidents,easy,2218520.92,36.98
DeepSeek-VL,RoadAccidents,hard,2226352.19,37.11
DeepSeek-VL,RoadAccidents,medium,2225365.21,37.09
DeepSeek-VL,Robbery,easy,3620828.12,60.35
DeepSeek-VL,Robbery,hard,3652443.59,60.87
DeepSeek-VL,Robbery,medium,3633284.12,60.55
DeepSeek-VL,Shooting,easy,1261634.59,21.03
DeepSeek-VL,Shooting,hard,1268792.98,21.15
DeepSeek-VL,Shooting,medium,1268759.37,21.15
DeepSeek-VL,Shoplifting,easy,2793469.25,46.56
DeepSeek-VL,Shoplifting,hard,2800170.34,46.67
DeepSeek-VL,Shoplifting,medium,2798864.79,46.65
DeepSeek-VL,Stealing,easy,4010554.03,66.84
DeepSeek-VL,Stealing,hard,4030783.27,67.18
DeepSeek-VL,Stealing,medium,4029458.86,67.16
DeepSeek-VL,Vandalism,easy,1261099.27,21.02
DeepSeek-VL,Vandalism,hard,1267598.97,21.13
DeepSeek-VL,Vandalism,medium,1264416.64,21.07
DeepSeek-VL,z_Normal_Videos,easy,1249646.94,20.83
DeepSeek-VL,z_Normal_Videos,hard,1257595.11,20.96
DeepSeek-VL,z_Normal_Videos,medium,1255618.31,20.93
InstructBLIP,Abuse,easy,586847.5,9.78
InstructBLIP,Abuse,hard,582260.99,9.7
InstructBLIP,Abuse,medium,578430.95,9.64
InstructBLIP,Arrest,easy,888032.87,14.8
InstructBLIP,Arrest,hard,913566.97,15.23
InstructBLIP,Arrest,medium,892199.97,14.87
InstructBLIP,Arson,easy,813480.6,13.56
InstructBLIP,Arson,hard,822392.12,13.71
InstructBLIP,Arson,medium,816794.75,13.61
InstructBLIP,Assault,easy,387755.96,6.46
InstructBLIP,Assault,hard,391821.49,6.53
InstructBLIP,Assault,medium,388942.46,6.48
InstructBLIP,Burglary,easy,1411311.67,23.52
InstructBLIP,Burglary,hard,1428504.99,23.81
InstructBLIP,Burglary,medium,1418500.3,23.64
InstructBLIP,Explosion,easy,756175.08,12.6
InstructBLIP,Explosion,hard,765253.72,12.75
InstructBLIP,Explosion,medium,759255.55,12.65
InstructBLIP,Fighting,easy,776418.2,12.94
InstructBLIP,Fighting,hard,786105.04,13.1
InstructBLIP,Fighting,medium,780524.05,13.01
InstructBLIP,RoadAccidents,easy,778689.13,12.98
InstructBLIP,RoadAccidents,hard,788321.98,13.14
InstructBLIP,RoadAccidents,medium,783536.77,13.06
InstructBLIP,Robbery,easy,1268291.9,21.14
InstructBLIP,Robbery,hard,1281569.92,21.36
InstructBLIP,Robbery,medium,1273696.64,21.23
InstructBLIP,Shooting,easy,441138.95,7.35
InstructBLIP,Shooting,hard,446170.8,7.44
InstructBLIP,Shooting,medium,442471.19,7.37
InstructBLIP,Shoplifting,easy,974645.29,16.24
InstructBLIP,Shoplifting,hard,987697.09,16.46
InstructBLIP,Shoplifting,medium,980190.01,16.34
InstructBLIP,Stealing,easy,1403780.34,23.4
InstructBLIP,Stealing,hard,1422690.44,23.71
InstructBLIP,Stealing,medium,1409547.29,23.49
InstructBLIP,Vandalism,easy,441916.89,7.37
InstructBLIP,Vandalism,hard,448078.06,7.47
InstructBLIP,Vandalism,medium,444537.61,7.41
InstructBLIP,z_Normal_Videos,easy,439778.6,7.33
InstructBLIP,z_Normal_Videos,hard,445770.86,7.43
